Package ID,Created,Modified,Vendor Company,Vendor
2406161,15-Jun-25,,Holiday Niseko,Seisei
2406403,15-Jun-25,,Holiday Niseko,Aoyama Lodge 2
2411424,22-Jun-25,,Holiday Niseko,Akiyama
2416002,29-Jun-25,15-Jul-25,Holiday Niseko,Kabayama Townhouses
2418744,2-Jul-25,,Holiday Niseko,Asuka 5 - 10
2418851,2-Jul-25,3-Jul-25,Holiday Niseko,Avalon
2425726,9-Jul-25,10-Jul-25,Holiday Niseko,Snowbird Studios
2489307,25-Aug-25,,Holiday Niseko,Inari Chalet
2489680,25-Aug-25,,Holiday Niseko,Yukon Apartments
2501649,5-Sep-25,9-Sep-25,Holiday Niseko,The Fount Niseko
2351785,1-Apr-25,,Holiday Niseko,North Star
2383556,18-May-25,19-May-25,Niseko Wow,Alpen Ridge
2393812,4-Jun-25,15-Jul-25,Holiday Niseko,Yukon Apartments
2406471,15-Jun-25,,Holiday Niseko,Shinsetsu Apartments
2412158,23-Jun-25,30-Jun-25,Holiday Niseko,Snowbird Studios
2438331,21-Jul-25,,Holiday Niseko,Seisei
2440429,23-Jul-25,,Holiday Niseko,The Fount Niseko
2446289,28-Jul-25,30-Jul-25,Holiday Niseko,Sakura
2458153,4-Aug-25,,Holiday Niseko,Snowbird Studios
2461073,6-Aug-25,7-Aug-25,Holiday Niseko,Snowbird Studios
2488780,24-Aug-25,25-Aug-25,Holiday Niseko,Flow Niseko
2321721,12-Mar-25,,Holiday Niseko,Midori House
2349235,1-Apr-25,,Holiday Niseko,Birch Grove
2357992,11-Apr-25,30-Jul-25,Holiday Niseko,Ummei
2360935,17-Apr-25,,Holiday Niseko,Fumoto
2363724,22-Apr-25,,Hokkaido Travel,Shinsetsu (7~9)
2363731,22-Apr-25,,Hokkaido Travel,Shinsetsu (7~9)
2380177,11-May-25,11-May-25,Holiday Niseko,Shinsetsu Apartments
2382833,16-May-25,,Holiday Niseko,Asuka 5 - 10
2382910,16-May-25,,Holiday Niseko,Yukon Apartments
2387686,25-May-25,,Holiday Niseko,Snowbird Studios
2417847,1-Jul-25,,Holiday Niseko,Kabayama Chalet
2456326,3-Aug-25,,Holiday Niseko,Lodge Mori
2466838,11-Aug-25,,Holiday Niseko,Kabayama Townhouses
2484133,20-Aug-25,,Holiday Niseko,Himawari
2495708,1-Sep-25,,Holiday Niseko,Snowbird Studios
2504348,8-Sep-25,9-Sep-25,Holiday Niseko,Himawari
2506318,11-Sep-25,,Holiday Niseko,Lodge Mori
2154813,19-Jan-25,28-Apr-25,Holiday Niseko,Flow Niseko
2168960,24-Jan-25,,Holiday Niseko,Cecuko
2413594,26-Jun-25,,Holiday Niseko,Kokage
2416438,29-Jun-25,,Holiday Niseko,Udelka B
2436267,20-Jul-25,,Holiday Niseko,Lodge Mori
2503699,8-Sep-25,,Holiday Niseko,Asuka Value
2105830,7-Jan-25,,Holiday Niseko,Yuki Kawa
2142015,16-Jan-25,3-Sep-25,Holiday Niseko,Asuka 5 - 10
2356458,8-Apr-25,8-Apr-25,Midorinoki,Akazora
2360748,16-Apr-25,,Holiday Niseko,Ise
2383307,17-May-25,20-May-25,Holiday Niseko,Yukon Apartments
2407305,16-Jun-25,,Holiday Niseko,Sawa Chalet Annupuri
2424217,8-Jul-25,,Holiday Niseko,Snowbird Studios
2431000,14-Jul-25,,Holiday Niseko,Kabayama House
2466187,10-Aug-25,12-Aug-25,Holiday Niseko,Lodge Mori
2180778,27-Jan-25,7-Sep-25,Holiday Niseko,Nichigo
2289512,28-Feb-25,,Holiday Niseko,Shinsetsu Apartments
2297919,3-Mar-25,,Holiday Niseko,Shinsetsu Apartments
2352904,2-Apr-25,3-Apr-25,Niseko Management Service,Sugarpot
2388005,26-May-25,,Holiday Niseko,Sakura
2412507,24-Jun-25,,Holiday Niseko,Kabayama Townhouses
2432610,16-Jul-25,,Holiday Niseko,Nitai
2439686,22-Jul-25,,Holiday Niseko,Yotei Chalets
2448779,29-Jul-25,30-Jul-25,Holiday Niseko,Nitai
2450846,30-Jul-25,31-Jul-25,Holiday Niseko,Flow Niseko
2454983,2-Aug-25,,Holiday Niseko,Aster
2244394,14-Feb-25,,Holiday Niseko,Zangetsu
2291873,1-Mar-25,,Holiday Niseko,Ikigai
